District,Year,Method,Contraceptives,Gender,Number of user
Bajura,2069/70,Temporary Methods,Norplant,,339
Bajura,2069/70,Permanent method,Strerilization,Male,3324
Bajura,2069/70,Permanent method,Strerilization,Female,373
Bajhang,2069/70,Temporary Methods,Condom,,1601
Bajhang,2069/70,Temporary Methods,Pills,,471
Bajhang,2069/70,Temporary Methods,Depo,,1979
Bajhang,2069/70,Temporary Methods,IUD,,166
Bajhang,2069/70,Temporary Methods,Norplant,,709
Bajhang,2069/70,Permanent method,Strerilization,Male,4525
Bajhang,2069/70,Permanent method,Strerilization,Female,160
Achham,2069/70,Temporary Methods,Condom,,4424
Achham,2069/70,Temporary Methods,Pills,,1566
Achham,2069/70,Temporary Methods,Depo,,3116
Achham,2069/70,Temporary Methods,IUD,,470
Achham,2069/70,Temporary Methods,Norplant,,1039
Achham,2069/70,Permanent method,Strerilization,Male,2953
Achham,2069/70,Permanent method,Strerilization,Female,378
Doti,2069/70,Temporary Methods,Condom,,2707
Doti,2069/70,Temporary Methods,Pills,,1121
Doti,2069/70,Temporary Methods,Depo,,3178
Doti,2069/70,Temporary Methods,IUD,,477
Doti,2069/70,Temporary Methods,Norplant,,953
Doti,2069/70,Permanent method,Strerilization,Male,3596
Doti,2069/70,Permanent method,Strerilization,Female,592
Kailali,2069/70,Temporary Methods,Condom,,7924
Kailali,2069/70,Temporary Methods,Pills,,7521
Kailali,2069/70,Temporary Methods,Depo,,11510
Kailali,2069/70,Temporary Methods,IUD,,2211
Kailali,2069/70,Temporary Methods,Norplant,,3476
Kailali,2069/70,Permanent method,Strerilization,Male,4520
Kailali,2069/70,Permanent method,Strerilization,Female,41475
Kanchanpur,2069/70,Temporary Methods,Condom,,5221
Kanchanpur,2069/70,Temporary Methods,Pills,,3460
Kanchanpur,2069/70,Temporary Methods,Depo,,6168
Kanchanpur,2069/70,Temporary Methods,IUD,,1786
Kanchanpur,2069/70,Temporary Methods,Norplant,,2096
Kanchanpur,2069/70,Permanent method,Strerilization,Male,4095
Kanchanpur,2069/70,Permanent method,Strerilization,Female,20075
Dadeldhura,2069/70,Temporary Methods,Condom,,1105
Dadeldhura,2069/70,Temporary Methods,Pills,,1933
Dadeldhura,2069/70,Temporary Methods,Depo,,1897
Dadeldhura,2069/70,Temporary Methods,IUD,,147
Dadeldhura,2069/70,Temporary Methods,Norplant,,510
Dadeldhura,2069/70,Permanent method,Strerilization,Male,3137
Dadeldhura,2069/70,Permanent method,Strerilization,Female,993
Baitadi,2069/70,Temporary Methods,Condom,,3086
Baitadi,2069/70,Temporary Methods,Pills,,2227
Baitadi,2069/70,Temporary Methods,Depo,,3010
Baitadi,2069/70,Temporary Methods,IUD,,486
Baitadi,2069/70,Temporary Methods,Norplant,,1970
Baitadi,2069/70,Permanent method,Strerilization,Male,3858
Baitadi,2069/70,Permanent method,Strerilization,Female,1079
Darchula,2069/70,Temporary Methods,Condom,,1074
Darchula,2069/70,Temporary Methods,Pills,,610
Darchula,2069/70,Temporary Methods,Depo,,1677
Darchula,2069/70,Temporary Methods,IUD,,110
Darchula,2069/70,Temporary Methods,Norplant,,167
Darchula,2069/70,Permanent method,Strerilization,Male,2480
Darchula,2069/70,Permanent method,Strerilization,Female,341
