Year,District,Communicable and infectious disease,Number of people
2011/012,Udaypur,Urinary Tract infection,2968
2011/012,Udaypur,Viral Influenza,1448
2011/012,Udaypur,Reproductive Tract Infection male,159
2011/012,Udaypur,Reproductive tract infection female,241
2011/012,Saptari,ARI /Lower respiratory tract infection,27031
2011/012,Saptari,Upper respiratory Tract infection,18836
2011/012,Saptari,Pneumonia,8262
2011/012,Saptari,Server Pneumonia,201
2011/012,Saptari,Bronchitis,10523
2011/012,Saptari,Asthma,8446
2011/012,Saptari,Urinary Tract infection,5889
2011/012,Saptari,Viral Influenza,5941
2011/012,Saptari,Reproductive Tract Infection male,93
2011/012,Saptari,Reproductive tract infection female,183
2011/012,Siraha,ARI /Lower respiratory tract infection,29700
2011/012,Siraha,Upper respiratory Tract infection,26019
2011/012,Siraha,Pneumonia,9754
2011/012,Siraha,Server Pneumonia,307
2011/012,Siraha,Bronchitis,9873
2011/012,Siraha,Asthma,8192
2011/012,Siraha,Urinary Tract infection,5483
2011/012,Siraha,Viral Influenza,3071
2011/012,Siraha,Reproductive Tract Infection male,82
2011/012,Siraha,Reproductive tract infection female,120
2011/012,Dhanusha,ARI /Lower respiratory tract infection,34361
2011/012,Dhanusha,Upper respiratory Tract infection,23597
2011/012,Dhanusha,Pneumonia,9952
2011/012,Dhanusha,Server Pneumonia,412
2011/012,Dhanusha,Bronchitis,10998
2011/012,Dhanusha,Asthma,11120
2011/012,Dhanusha,Urinary Tract infection,4826
2011/012,Dhanusha,Viral Influenza,5214
2011/012,Dhanusha,Reproductive Tract Infection male,172
2011/012,Dhanusha,Reproductive tract infection female,243
2011/012,Mahottari,ARI /Lower respiratory tract infection,24232
2011/012,Mahottari,Upper respiratory Tract infection,20923
2011/012,Mahottari,Pneumonia,7755
2011/012,Mahottari,Server Pneumonia,267
2011/012,Mahottari,Bronchitis,10040
2011/012,Mahottari,Asthma,10275
2011/012,Mahottari,Urinary Tract infection,6401
2011/012,Mahottari,Viral Influenza,2692
2011/012,Mahottari,Reproductive Tract Infection male,133
2011/012,Mahottari,Reproductive tract infection female,398
2011/012,Sarlahi,ARI /Lower respiratory tract infection,25794
2011/012,Sarlahi,Upper respiratory Tract infection,27289
2011/012,Sarlahi,Pneumonia,9478
2011/012,Sarlahi,Server Pneumonia,1146
2011/012,Sarlahi,Bronchitis,14920
2011/012,Sarlahi,Asthma,17354
2011/012,Sarlahi,Urinary Tract infection,6767
2011/012,Sarlahi,Viral Influenza,3044
2011/012,Sarlahi,Reproductive Tract Infection male,152
2011/012,Sarlahi,Reproductive tract infection female,245
2011/012,Sindhuli,ARI /Lower respiratory tract infection,5337
2011/012,Sindhuli,Upper respiratory Tract infection,5715
2011/012,Sindhuli,Pneumonia,4333
2011/012,Sindhuli,Server Pneumonia,124
2011/012,Sindhuli,Bronchitis,1837
2011/012,Sindhuli,Asthma,2745
2011/012,Sindhuli,Urinary Tract infection,1740
2011/012,Sindhuli,Viral Influenza,565
2011/012,Sindhuli,Reproductive Tract Infection male,49
2011/012,Sindhuli,Reproductive tract infection female,64
2011/012,Ramechhap,ARI /Lower respiratory tract infection,11612
2011/012,Ramechhap,Upper respiratory Tract infection,9907
2011/012,Ramechhap,Pneumonia,4738
2011/012,Ramechhap,Server Pneumonia,157
2011/012,Ramechhap,Bronchitis,3657
2011/012,Ramechhap,Asthma,3312
2011/012,Ramechhap,Urinary Tract infection,3368
2011/012,Ramechhap,Viral Influenza,2851
2011/012,Ramechhap,Reproductive Tract Infection male,34
2011/012,Ramechhap,Reproductive tract infection female,17
2011/012,Dolkha,ARI /Lower respiratory tract infection,14389
2011/012,Dolkha,Upper respiratory Tract infection,10760
2011/012,Dolkha,Pneumonia,2820
2011/012,Dolkha,Server Pneumonia,47
2011/012,Dolkha,Bronchitis,2195
2011/012,Dolkha,Asthma,3364
2011/012,Dolkha,Urinary Tract infection,2836
2011/012,Dolkha,Viral Influenza,2728
2011/012,Dolkha,Reproductive Tract Infection male,35
2011/012,Dolkha,Reproductive tract infection female,72
2011/012,Sindhupalchowk,ARI /Lower respiratory tract infection,17480
2011/012,Sindhupalchowk,Upper respiratory Tract infection,15158
2011/012,Sindhupalchowk,Pneumonia,5713
2011/012,Sindhupalchowk,Server Pneumonia,280
2011/012,Sindhupalchowk,Bronchitis,4000
2011/012,Sindhupalchowk,Asthma,5340
2011/012,Sindhupalchowk,Urinary Tract infection,3975
2011/012,Sindhupalchowk,Viral Influenza,4547
2011/012,Sindhupalchowk,Reproductive Tract Infection male,167
2011/012,Sindhupalchowk,Reproductive tract infection female,458
2011/012,Kavre,ARI /Lower respiratory tract infection,24689
2011/012,Kavre,Upper respiratory Tract infection,24126
2011/012,Kavre,Pneumonia,7274
2011/012,Kavre,Server Pneumonia,165
2011/012,Kavre,Bronchitis,4679
2011/012,Kavre,Asthma,8210
2011/012,Kavre,Urinary Tract infection,3646
2011/012,Kavre,Viral Influenza,3734
2011/012,Kavre,Reproductive Tract Infection male,56
2011/012,Kavre,Reproductive tract infection female,136
2011/012,Lalitpur,ARI /Lower respiratory tract infection,0
2011/012,Lalitpur,Upper respiratory Tract infection,0
2011/012,Lalitpur,Pneumonia,0
2011/012,Lalitpur,Server Pneumonia,0
2011/012,Lalitpur,Bronchitis,0
2011/012,Lalitpur,Asthma,0
2011/012,Lalitpur,Urinary Tract infection,0
2011/012,Lalitpur,Viral Influenza,0
2011/012,Lalitpur,Reproductive Tract Infection male,0
2011/012,Lalitpur,Reproductive tract infection female,0
2011/012,Bhaktapur,ARI /Lower respiratory tract infection,8602
2011/012,Bhaktapur,Upper respiratory Tract infection,10375
2011/012,Bhaktapur,Pneumonia,2918
2011/012,Bhaktapur,Server Pneumonia,114
2011/012,Bhaktapur,Bronchitis,1526
2011/012,Bhaktapur,Asthma,2926
2011/012,Bhaktapur,Urinary Tract infection,2482
2011/012,Bhaktapur,Viral Influenza,2428
2011/012,Bhaktapur,Reproductive Tract Infection male,116
2011/012,Bhaktapur,Reproductive tract infection female,168
2011/012,Kathmandu,ARI /Lower respiratory tract infection,24204
2011/012,Kathmandu,Upper respiratory Tract infection,27793
2011/012,Kathmandu,Pneumonia,8461
2011/012,Kathmandu,Server Pneumonia,1024
2011/012,Kathmandu,Bronchitis,8782
2011/012,Kathmandu,Asthma,22632
2011/012,Kathmandu,Urinary Tract infection,12393
2011/012,Kathmandu,Viral Influenza,7596
2011/012,Kathmandu,Reproductive Tract Infection male,613
2011/012,Kathmandu,Reproductive tract infection female,1287
2011/012,Nuwakot,ARI /Lower respiratory tract infection,7186
2011/012,Nuwakot,Upper respiratory Tract infection,7700
2011/012,Nuwakot,Pneumonia,3163
2011/012,Nuwakot,Server Pneumonia,193
2011/012,Nuwakot,Bronchitis,1998
2011/012,Nuwakot,Asthma,5227
2011/012,Nuwakot,Urinary Tract infection,2200
2011/012,Nuwakot,Viral Influenza,2995
2011/012,Nuwakot,Reproductive Tract Infection male,36
2011/012,Nuwakot,Reproductive tract infection female,66
2011/012,Rasuwa,ARI /Lower respiratory tract infection,3187
2011/012,Rasuwa,Upper respiratory Tract infection,3184
2011/012,Rasuwa,Pneumonia,626
2011/012,Rasuwa,Server Pneumonia,19
2011/012,Rasuwa,Bronchitis,437
2011/012,Rasuwa,Asthma,652
2011/012,Rasuwa,Urinary Tract infection,605
2011/012,Rasuwa,Viral Influenza,1408
2011/012,Rasuwa,Reproductive Tract Infection male,7
2011/012,Rasuwa,Reproductive tract infection female,16
2011/012,Dhading,ARI /Lower respiratory tract infection,19845
2011/012,Dhading,Upper respiratory Tract infection,15510
2011/012,Dhading,Pneumonia,9200
2011/012,Dhading,Server Pneumonia,476
2011/012,Dhading,Bronchitis,4117
2011/012,Dhading,Asthma,6672
2011/012,Dhading,Urinary Tract infection,3747
2011/012,Dhading,Viral Influenza,11096
2011/012,Dhading,Reproductive Tract Infection male,113
2011/012,Dhading,Reproductive tract infection female,334
2011/012,Makawanpur,ARI /Lower respiratory tract infection,7445
2011/012,Makawanpur,Upper respiratory Tract infection,8910
2011/012,Makawanpur,Pneumonia,4384
2011/012,Makawanpur,Server Pneumonia,209
2011/012,Makawanpur,Bronchitis,3335
2011/012,Makawanpur,Asthma,3820
2011/012,Makawanpur,Urinary Tract infection,2163
2011/012,Makawanpur,Viral Influenza,3434
2011/012,Makawanpur,Reproductive Tract Infection male,27
2011/012,Makawanpur,Reproductive tract infection female,43
2011/012,Rautahat,ARI /Lower respiratory tract infection,14881
2011/012,Rautahat,Upper respiratory Tract infection,14900
2011/012,Rautahat,Pneumonia,7799
2011/012,Rautahat,Server Pneumonia,551
2011/012,Rautahat,Bronchitis,9558
2011/012,Rautahat,Asthma,10727
2011/012,Rautahat,Urinary Tract infection,4100
2011/012,Rautahat,Viral Influenza,2577
2011/012,Rautahat,Reproductive Tract Infection male,3173
2011/012,Rautahat,Reproductive tract infection female,455
2011/012,Bara,ARI /Lower respiratory tract infection,17585
2011/012,Bara,Upper respiratory Tract infection,18578
2011/012,Bara,Pneumonia,5659
2011/012,Bara,Server Pneumonia,434
2011/012,Bara,Bronchitis,9296
2011/012,Bara,Asthma,11093
2011/012,Bara,Urinary Tract infection,4324
2011/012,Bara,Viral Influenza,2399
2011/012,Bara,Reproductive Tract Infection male,110
2011/012,Bara,Reproductive tract infection female,385
2011/012,Parsa,ARI /Lower respiratory tract infection,0
2011/012,Parsa,Upper respiratory Tract infection,0
2011/012,Parsa,Pneumonia,0
2011/012,Parsa,Server Pneumonia,0
2011/012,Parsa,Bronchitis,0
2011/012,Parsa,Asthma,0
2011/012,Parsa,Urinary Tract infection,0
2011/012,Parsa,Viral Influenza,0
2011/012,Parsa,Reproductive Tract Infection male,0
2011/012,Parsa,Reproductive tract infection female,0
2011/012,Chitwan,ARI /Lower respiratory tract infection,19379
2011/012,Chitwan,Upper respiratory Tract infection,17932
2011/012,Chitwan,Pneumonia,7631
2011/012,Chitwan,Server Pneumonia,252
2011/012,Chitwan,Bronchitis,4690
2011/012,Chitwan,Asthma,8769
2011/012,Chitwan,Urinary Tract infection,6652
2011/012,Chitwan,Viral Influenza,9222
2011/012,Chitwan,Reproductive Tract Infection male,591
2011/012,Chitwan,Reproductive tract infection female,766
2011/012,Gorkha,ARI /Lower respiratory tract infection,13009
2011/012,Gorkha,Upper respiratory Tract infection,18242
2011/012,Gorkha,Pneumonia,6990
2011/012,Gorkha,Server Pneumonia,143
2011/012,Gorkha,Bronchitis,3276
2011/012,Gorkha,Asthma,3955
2011/012,Gorkha,Urinary Tract infection,4977
2011/012,Gorkha,Viral Influenza,6982
2011/012,Gorkha,Reproductive Tract Infection male,31
2011/012,Gorkha,Reproductive tract infection female,71
2011/012,Lamjung,ARI /Lower respiratory tract infection,7362
2011/012,Lamjung,Upper respiratory Tract infection,7474
2011/012,Lamjung,Pneumonia,3833
2011/012,Lamjung,Server Pneumonia,110
2011/012,Lamjung,Bronchitis,3057
2011/012,Lamjung,Asthma,4187
2011/012,Lamjung,Urinary Tract infection,2503
2011/012,Lamjung,Viral Influenza,3800
2011/012,Lamjung,Reproductive Tract Infection male,13
2011/012,Lamjung,Reproductive tract infection female,20
2011/012,Tanahu,ARI /Lower respiratory tract infection,9974
2011/012,Tanahu,Upper respiratory Tract infection,9433
2011/012,Tanahu,Pneumonia,2620
2011/012,Tanahu,Server Pneumonia,104
2011/012,Tanahu,Bronchitis,2300
2011/012,Tanahu,Asthma,3567
2011/012,Tanahu,Urinary Tract infection,2750
2011/012,Tanahu,Viral Influenza,4904
2011/012,Tanahu,Reproductive Tract Infection male,119
2011/012,Tanahu,Reproductive tract infection female,134
2011/012,Syangja,ARI /Lower respiratory tract infection,20789
2011/012,Syangja,Upper respiratory Tract infection,15997
2011/012,Syangja,Pneumonia,3757
2011/012,Syangja,Server Pneumonia,146
2011/012,Syangja,Bronchitis,5600
2011/012,Syangja,Asthma,6819
2011/012,Syangja,Urinary Tract infection,4801
2011/012,Syangja,Viral Influenza,2745
2011/012,Syangja,Reproductive Tract Infection male,73
2011/012,Syangja,Reproductive tract infection female,209
2011/012,Kaski,ARI /Lower respiratory tract infection,24904
2011/012,Kaski,Upper respiratory Tract infection,26305
2011/012,Kaski,Pneumonia,6368
2011/012,Kaski,Server Pneumonia,395
2011/012,Kaski,Bronchitis,5998
2011/012,Kaski,Asthma,7170
2011/012,Kaski,Urinary Tract infection,7264
2011/012,Kaski,Viral Influenza,8468
2011/012,Kaski,Reproductive Tract Infection male,270
2011/012,Kaski,Reproductive tract infection female,664
2011/012,Manang,ARI /Lower respiratory tract infection,714
2011/012,Manang,Upper respiratory Tract infection,720
2011/012,Manang,Pneumonia,122
2011/012,Manang,Server Pneumonia,13
2011/012,Manang,Bronchitis,149
2011/012,Manang,Asthma,111
2011/012,Manang,Urinary Tract infection,105
2011/012,Manang,Viral Influenza,27
2011/012,Manang,Reproductive Tract Infection male,0
2011/012,Manang,Reproductive tract infection female,4
2011/012,Mustang,ARI /Lower respiratory tract infection,2084
2011/012,Mustang,Upper respiratory Tract infection,2987
2011/012,Mustang,Pneumonia,207
2011/012,Mustang,Server Pneumonia,5
2011/012,Mustang,Bronchitis,113
2011/012,Mustang,Asthma,178
2011/012,Mustang,Urinary Tract infection,370
2011/012,Mustang,Viral Influenza,127
2011/012,Mustang,Reproductive Tract Infection male,1
2011/012,Mustang,Reproductive tract infection female,0
2011/012,Myagdi,ARI /Lower respiratory tract infection,7096
2011/012,Myagdi,Upper respiratory Tract infection,12130
2011/012,Myagdi,Pneumonia,1619
2011/012,Myagdi,Server Pneumonia,73
2011/012,Myagdi,Bronchitis,1027
2011/012,Myagdi,Asthma,1306
2011/012,Myagdi,Urinary Tract infection,1605
2011/012,Myagdi,Viral Influenza,2115
2011/012,Myagdi,Reproductive Tract Infection male,24
2011/012,Myagdi,Reproductive tract infection female,55
2011/012,Parbat,ARI /Lower respiratory tract infection,16325
2011/012,Parbat,Upper respiratory Tract infection,17431
2011/012,Parbat,Pneumonia,4280
2011/012,Parbat,Server Pneumonia,70
2011/012,Parbat,Bronchitis,3247
2011/012,Parbat,Asthma,3244
2011/012,Parbat,Urinary Tract infection,2014
2011/012,Parbat,Viral Influenza,904
2011/012,Parbat,Reproductive Tract Infection male,29
2011/012,Parbat,Reproductive tract infection female,62
2011/012,Baglung,ARI /Lower respiratory tract infection,18684
2011/012,Baglung,Upper respiratory Tract infection,24838
2011/012,Baglung,Pneumonia,6268
2011/012,Baglung,Server Pneumonia,310
2011/012,Baglung,Bronchitis,4945
2011/012,Baglung,Asthma,3173
2011/012,Baglung,Urinary Tract infection,3693
2011/012,Baglung,Viral Influenza,1723
2011/012,Baglung,Reproductive Tract Infection male,89
2011/012,Baglung,Reproductive tract infection female,80
2011/012,Gulmi,ARI /Lower respiratory tract infection,20472
2011/012,Gulmi,Upper respiratory Tract infection,16265
2011/012,Gulmi,Pneumonia,6637
2011/012,Gulmi,Server Pneumonia,401
2011/012,Gulmi,Bronchitis,7736
2011/012,Gulmi,Asthma,5112
2011/012,Gulmi,Urinary Tract infection,5231
2011/012,Gulmi,Viral Influenza,5533
2011/012,Gulmi,Reproductive Tract Infection male,148
2011/012,Gulmi,Reproductive tract infection female,250
2011/012,Palpa,ARI /Lower respiratory tract infection,15780
2011/012,Palpa,Upper respiratory Tract infection,13594
2011/012,Palpa,Pneumonia,5827
2011/012,Palpa,Server Pneumonia,112
2011/012,Palpa,Bronchitis,6353
2011/012,Palpa,Asthma,6551
2011/012,Palpa,Urinary Tract infection,7327
2011/012,Palpa,Viral Influenza,3756
2011/012,Palpa,Reproductive Tract Infection male,32
2011/012,Palpa,Reproductive tract infection female,45
2011/012,Nawalparasi,ARI /Lower respiratory tract infection,25645
2011/012,Nawalparasi,Upper respiratory Tract infection,23094
2011/012,Nawalparasi,Pneumonia,9094
2011/012,Nawalparasi,Server Pneumonia,217
2011/012,Nawalparasi,Bronchitis,5413
2011/012,Nawalparasi,Asthma,7743
2011/012,Nawalparasi,Urinary Tract infection,5808
2011/012,Nawalparasi,Viral Influenza,2901
2011/012,Nawalparasi,Reproductive Tract Infection male,69
2011/012,Nawalparasi,Reproductive tract infection female,83
2011/012,Rupandehi,ARI /Lower respiratory tract infection,0
2011/012,Rupandehi,Upper respiratory Tract infection,0
2011/012,Rupandehi,Pneumonia,0
2011/012,Rupandehi,Server Pneumonia,0
2011/012,Rupandehi,Bronchitis,0
2011/012,Rupandehi,Asthma,0
2011/012,Rupandehi,Urinary Tract infection,0
2011/012,Rupandehi,Viral Influenza,0
2011/012,Rupandehi,Reproductive Tract Infection male,0
2011/012,Rupandehi,Reproductive tract infection female,0
2011/012,Kapilvastu,ARI /Lower respiratory tract infection,15078
2011/012,Kapilvastu,Upper respiratory Tract infection,20314
2011/012,Kapilvastu,Pneumonia,8179
2011/012,Kapilvastu,Server Pneumonia,756
2011/012,Kapilvastu,Bronchitis,9042
2011/012,Kapilvastu,Asthma,9195
2011/012,Kapilvastu,Urinary Tract infection,5636
2011/012,Kapilvastu,Viral Influenza,2756
2011/012,Kapilvastu,Reproductive Tract Infection male,320
2011/012,Kapilvastu,Reproductive tract infection female,613
2011/012,Arghakhanchi,ARI /Lower respiratory tract infection,10214
2011/012,Arghakhanchi,Upper respiratory Tract infection,7240
2011/012,Arghakhanchi,Pneumonia,5084
2011/012,Arghakhanchi,Server Pneumonia,492
2011/012,Arghakhanchi,Bronchitis,3922
2011/012,Arghakhanchi,Asthma,3912
2011/012,Arghakhanchi,Urinary Tract infection,2996
2011/012,Arghakhanchi,Viral Influenza,1802
2011/012,Arghakhanchi,Reproductive Tract Infection male,89
2011/012,Arghakhanchi,Reproductive tract infection female,93
2011/012,Pyuthan,ARI /Lower respiratory tract infection,11395
2011/012,Pyuthan,Upper respiratory Tract infection,13782
2011/012,Pyuthan,Pneumonia,5884
2011/012,Pyuthan,Server Pneumonia,510
2011/012,Pyuthan,Bronchitis,4798
2011/012,Pyuthan,Asthma,4782
2011/012,Pyuthan,Urinary Tract infection,3136
2011/012,Pyuthan,Viral Influenza,119
2011/012,Pyuthan,Reproductive Tract Infection male,10
2011/012,Pyuthan,Reproductive tract infection female,32
2011/012,Rolpa,ARI /Lower respiratory tract infection,9300
2011/012,Rolpa,Upper respiratory Tract infection,9238
2011/012,Rolpa,Pneumonia,4784
2011/012,Rolpa,Server Pneumonia,136
2011/012,Rolpa,Bronchitis,2018
2011/012,Rolpa,Asthma,2699
2011/012,Rolpa,Urinary Tract infection,3500
2011/012,Rolpa,Viral Influenza,339
2011/012,Rolpa,Reproductive Tract Infection male,37
2011/012,Rolpa,Reproductive tract infection female,49
2011/012,Rukum,ARI /Lower respiratory tract infection,9195
2011/012,Rukum,Upper respiratory Tract infection,11995
2011/012,Rukum,Pneumonia,6014
2011/012,Rukum,Server Pneumonia,680
2011/012,Rukum,Bronchitis,2176
2011/012,Rukum,Asthma,2738
2011/012,Rukum,Urinary Tract infection,3774
2011/012,Rukum,Viral Influenza,668
2011/012,Rukum,Reproductive Tract Infection male,74
2011/012,Rukum,Reproductive tract infection female,80
2011/012,Salyan,ARI /Lower respiratory tract infection,12772
2011/012,Salyan,Upper respiratory Tract infection,12597
2011/012,Salyan,Pneumonia,5339
2011/012,Salyan,Server Pneumonia,367
2011/012,Salyan,Bronchitis,3408
2011/012,Salyan,Asthma,6192
2011/012,Salyan,Urinary Tract infection,4245
2011/012,Salyan,Viral Influenza,470
2011/012,Salyan,Reproductive Tract Infection male,58
2011/012,Salyan,Reproductive tract infection female,256
2011/012,Dang,ARI /Lower respiratory tract infection,13679
2011/012,Dang,Upper respiratory Tract infection,18167
2011/012,Dang,Pneumonia,8105
2011/012,Dang,Server Pneumonia,376
2011/012,Dang,Bronchitis,5305
2011/012,Dang,Asthma,7515
2011/012,Dang,Urinary Tract infection,4777
2011/012,Dang,Viral Influenza,2509
2011/012,Dang,Reproductive Tract Infection male,252
2011/012,Dang,Reproductive tract infection female,292
2011/012,Banke,ARI /Lower respiratory tract infection,23023
2011/012,Banke,Upper respiratory Tract infection,24723
2011/012,Banke,Pneumonia,7481
2011/012,Banke,Server Pneumonia,294
2011/012,Banke,Bronchitis,3896
2011/012,Banke,Asthma,6075
2011/012,Banke,Urinary Tract infection,4162
2011/012,Banke,Viral Influenza,3243
2011/012,Banke,Reproductive Tract Infection male,46
2011/012,Banke,Reproductive tract infection female,38
2011/012,Bardiya,ARI /Lower respiratory tract infection,19160
2011/012,Bardiya,Upper respiratory Tract infection,23523
2011/012,Bardiya,Pneumonia,7333
2011/012,Bardiya,Server Pneumonia,257
2011/012,Bardiya,Bronchitis,7195
2011/012,Bardiya,Asthma,6688
2011/012,Bardiya,Urinary Tract infection,7198
2011/012,Bardiya,Viral Influenza,2902
2011/012,Bardiya,Reproductive Tract Infection male,219
2011/012,Bardiya,Reproductive tract infection female,633
2011/012,Surkhet,ARI /Lower respiratory tract infection,20957
2011/012,Surkhet,Upper respiratory Tract infection,24851
2011/012,Surkhet,Pneumonia,6929
2011/012,Surkhet,Server Pneumonia,298
2011/012,Surkhet,Bronchitis,4580
2011/012,Surkhet,Asthma,6556
2011/012,Surkhet,Urinary Tract infection,6692
2011/012,Surkhet,Viral Influenza,4368
2011/012,Surkhet,Reproductive Tract Infection male,119
2011/012,Surkhet,Reproductive tract infection female,170
2011/012,Dailekh,ARI /Lower respiratory tract infection,23157
2011/012,Dailekh,Upper respiratory Tract infection,17598
2011/012,Dailekh,Pneumonia,6334
2011/012,Dailekh,Server Pneumonia,329
2011/012,Dailekh,Bronchitis,3322
2011/012,Dailekh,Asthma,5982
2011/012,Dailekh,Urinary Tract infection,3955
2011/012,Dailekh,Viral Influenza,1850
2011/012,Dailekh,Reproductive Tract Infection male,24
2011/012,Dailekh,Reproductive tract infection female,46
2011/012,Jajarkot,ARI /Lower respiratory tract infection,6273
2011/012,Jajarkot,Upper respiratory Tract infection,10794
2011/012,Jajarkot,Pneumonia,3113
2011/012,Jajarkot,Server Pneumonia,426
2011/012,Jajarkot,Bronchitis,2132
2011/012,Jajarkot,Asthma,3240
2011/012,Jajarkot,Urinary Tract infection,2891
2011/012,Jajarkot,Viral Influenza,1129
2011/012,Jajarkot,Reproductive Tract Infection male,121
2011/012,Jajarkot,Reproductive tract infection female,283
2011/012,Dolpa,ARI /Lower respiratory tract infection,1570
2011/012,Dolpa,Upper respiratory Tract infection,1535
2011/012,Dolpa,Pneumonia,784
2011/012,Dolpa,Server Pneumonia,21
2011/012,Dolpa,Bronchitis,178
2011/012,Dolpa,Asthma,501
2011/012,Dolpa,Urinary Tract infection,562
2011/012,Dolpa,Viral Influenza,40
2011/012,Dolpa,Reproductive Tract Infection male,75
2011/012,Dolpa,Reproductive tract infection female,108
2011/012,Jumla,ARI /Lower respiratory tract infection,5946
2011/012,Jumla,Upper respiratory Tract infection,7945
2011/012,Jumla,Pneumonia,2825
2011/012,Jumla,Server Pneumonia,151
2011/012,Jumla,Bronchitis,1241
2011/012,Jumla,Asthma,1886
2011/012,Jumla,Urinary Tract infection,1273
2011/012,Jumla,Viral Influenza,103
2011/012,Jumla,Reproductive Tract Infection male,10
2011/012,Jumla,Reproductive tract infection female,16
2011/012,Kalikot,ARI /Lower respiratory tract infection,4040
2011/012,Kalikot,Upper respiratory Tract infection,3990
2011/012,Kalikot,Pneumonia,1534
2011/012,Kalikot,Server Pneumonia,268
2011/012,Kalikot,Bronchitis,1854
2011/012,Kalikot,Asthma,2777
2011/012,Kalikot,Urinary Tract infection,1818
2011/012,Kalikot,Viral Influenza,353
2011/012,Kalikot,Reproductive Tract Infection male,27
2011/012,Kalikot,Reproductive tract infection female,51
2011/012,Mugu,ARI /Lower respiratory tract infection,1953
2011/012,Mugu,Upper respiratory Tract infection,2660
2011/012,Mugu,Pneumonia,1537
2011/012,Mugu,Server Pneumonia,160
2011/012,Mugu,Bronchitis,1056
2011/012,Mugu,Asthma,1417
2011/012,Mugu,Urinary Tract infection,1086
2011/012,Mugu,Viral Influenza,52
2011/012,Mugu,Reproductive Tract Infection male,22
2011/012,Mugu,Reproductive tract infection female,32
2011/012,Humla,ARI /Lower respiratory tract infection,2570
2011/012,Humla,Upper respiratory Tract infection,3881
2011/012,Humla,Pneumonia,1669
2011/012,Humla,Server Pneumonia,233
2011/012,Humla,Bronchitis,1624
2011/012,Humla,Asthma,2132
2011/012,Humla,Urinary Tract infection,1495
2011/012,Humla,Viral Influenza,331
2011/012,Humla,Reproductive Tract Infection male,99
2011/012,Humla,Reproductive tract infection female,137
2011/012,Bajura,ARI /Lower respiratory tract infection,6323
2011/012,Bajura,Upper respiratory Tract infection,6391
2011/012,Bajura,Pneumonia,4110
2011/012,Bajura,Server Pneumonia,195
2011/012,Bajura,Bronchitis,1609
2011/012,Bajura,Asthma,3434
2011/012,Bajura,Urinary Tract infection,2170
2011/012,Bajura,Viral Influenza,1465
2011/012,Bajura,Reproductive Tract Infection male,10
2011/012,Bajura,Reproductive tract infection female,28
2011/012,Bajhang,ARI /Lower respiratory tract infection,8838
2011/012,Bajhang,Upper respiratory Tract infection,10931
2011/012,Bajhang,Pneumonia,4257
2011/012,Bajhang,Server Pneumonia,334
2011/012,Bajhang,Bronchitis,2098
2011/012,Bajhang,Asthma,2802
2011/012,Bajhang,Urinary Tract infection,3360
2011/012,Bajhang,Viral Influenza,1307
2011/012,Bajhang,Reproductive Tract Infection male,40
2011/012,Bajhang,Reproductive tract infection female,68
2011/012,Achham,ARI /Lower respiratory tract infection,22602
2011/012,Achham,Upper respiratory Tract infection,30811
2011/012,Achham,Pneumonia,7315
2011/012,Achham,Server Pneumonia,402
2011/012,Achham,Bronchitis,2604
2011/012,Achham,Asthma,6506
2011/012,Achham,Urinary Tract infection,5704
2011/012,Achham,Viral Influenza,870
2011/012,Achham,Reproductive Tract Infection male,43
2011/012,Achham,Reproductive tract infection female,37
2011/012,Doti,ARI /Lower respiratory tract infection,12591
2011/012,Doti,Upper respiratory Tract infection,15555
2011/012,Doti,Pneumonia,4213
2011/012,Doti,Server Pneumonia,310
2011/012,Doti,Bronchitis,2826
2011/012,Doti,Asthma,5712
2011/012,Doti,Urinary Tract infection,3764
2011/012,Doti,Viral Influenza,806
2011/012,Doti,Reproductive Tract Infection male,47
2011/012,Doti,Reproductive tract infection female,45
2011/012,Kailali,ARI /Lower respiratory tract infection,31083
2011/012,Kailali,Upper respiratory Tract infection,22493
2011/012,Kailali,Pneumonia,7611
2011/012,Kailali,Server Pneumonia,825
2011/012,Kailali,Bronchitis,4643
2011/012,Kailali,Asthma,8131
2011/012,Kailali,Urinary Tract infection,9042
2011/012,Kailali,Viral Influenza,3576
2011/012,Kailali,Reproductive Tract Infection male,225
2011/012,Kailali,Reproductive tract infection female,303
2011/012,Kanchanpur,ARI /Lower respiratory tract infection,16347
2011/012,Kanchanpur,Upper respiratory Tract infection,16335
2011/012,Kanchanpur,Pneumonia,7116
2011/012,Kanchanpur,Server Pneumonia,216
2011/012,Kanchanpur,Bronchitis,4217
2011/012,Kanchanpur,Asthma,5140
2011/012,Kanchanpur,Urinary Tract infection,4605
2011/012,Kanchanpur,Viral Influenza,7133
2011/012,Kanchanpur,Reproductive Tract Infection male,70
2011/012,Kanchanpur,Reproductive tract infection female,148
2011/012,Dadeldhura,ARI /Lower respiratory tract infection,11805
2011/012,Dadeldhura,Upper respiratory Tract infection,11771
2011/012,Dadeldhura,Pneumonia,4771
2011/012,Dadeldhura,Server Pneumonia,311
2011/012,Dadeldhura,Bronchitis,1960
2011/012,Dadeldhura,Asthma,4983
2011/012,Dadeldhura,Urinary Tract infection,3998
2011/012,Dadeldhura,Viral Influenza,2327
2011/012,Dadeldhura,Reproductive Tract Infection male,101
2011/012,Dadeldhura,Reproductive tract infection female,200
