District,Year,Respiratory problems,Morbidity Number
Jumla,2069/70,Viral Influnenza,424
Jumla,2069/70,Foreign body in respiratory tract,105
Kalikot,2069/70,ARI/Lower respiratory tract Infection,5593
Kalikot,2069/70,Upper respiratory tract Infection,6310
Kalikot,2069/70,Pneumonia,1607
Kalikot,2069/70,Sever Pneumonia,216
Kalikot,2069/70,Bronchitis,1544
Kalikot,2069/70,Asthama,2327
Kalikot,2069/70,Viral Influnenza,410
Kalikot,2069/70,Foreign body in respiratory tract,48
Mugu,2069/70,ARI/Lower respiratory tract Infection,1711
Mugu,2069/70,Upper respiratory tract Infection,2526
Mugu,2069/70,Pneumonia,1130
Mugu,2069/70,Sever Pneumonia,244
Mugu,2069/70,Bronchitis,675
Mugu,2069/70,Asthama,1256
Mugu,2069/70,Viral Influnenza,10
Mugu,2069/70,Foreign body in respiratory tract,33
Humla,2069/70,ARI/Lower respiratory tract Infection,3519
Humla,2069/70,Upper respiratory tract Infection,4917
Humla,2069/70,Pneumonia,1870
Humla,2069/70,Sever Pneumonia,282
Humla,2069/70,Bronchitis,1672
Humla,2069/70,Asthama,2303
Humla,2069/70,Viral Influnenza,449
Humla,2069/70,Foreign body in respiratory tract,96
Bajura,2069/70,ARI/Lower respiratory tract Infection,5453
Bajura,2069/70,Upper respiratory tract Infection,6840
Bajura,2069/70,Pneumonia,3909
Bajura,2069/70,Sever Pneumonia,227
Bajura,2069/70,Bronchitis,1527
Bajura,2069/70,Asthama,3285
Bajura,2069/70,Viral Influnenza,1690
Bajura,2069/70,Foreign body in respiratory tract,61
Bajhang,2069/70,ARI/Lower respiratory tract Infection,9774
Bajhang,2069/70,Upper respiratory tract Infection,10809
Bajhang,2069/70,Pneumonia,4349
Bajhang,2069/70,Sever Pneumonia,341
Bajhang,2069/70,Bronchitis,1799
Bajhang,2069/70,Asthama,3363
Bajhang,2069/70,Viral Influnenza,6555
Bajhang,2069/70,Foreign body in respiratory tract,89
Achham,2069/70,ARI/Lower respiratory tract Infection,25105
Achham,2069/70,Upper respiratory tract Infection,35723
Achham,2069/70,Pneumonia,6338
Achham,2069/70,Sever Pneumonia,465
Achham,2069/70,Bronchitis,2536
Achham,2069/70,Asthama,7474
Achham,2069/70,Viral Influnenza,3474
Achham,2069/70,Foreign body in respiratory tract,132
Doti,2069/70,ARI/Lower respiratory tract Infection,11949
Doti,2069/70,Upper respiratory tract Infection,16964
Doti,2069/70,Pneumonia,3673
Doti,2069/70,Sever Pneumonia,413
Doti,2069/70,Bronchitis,3057
Doti,2069/70,Asthama,5472
Doti,2069/70,Viral Influnenza,2700
Doti,2069/70,Foreign body in respiratory tract,64
Kailali,2069/70,ARI/Lower respiratory tract Infection,35545
Kailali,2069/70,Upper respiratory tract Infection,24868
Kailali,2069/70,Pneumonia,7736
Kailali,2069/70,Sever Pneumonia,1194
Kailali,2069/70,Bronchitis,6299
Kailali,2069/70,Asthama,9202
Kailali,2069/70,Viral Influnenza,9221
Kailali,2069/70,Foreign body in respiratory tract,122
Kanchanpur,2069/70,ARI/Lower respiratory tract Infection,18207
Kanchanpur,2069/70,Upper respiratory tract Infection,21603
Kanchanpur,2069/70,Pneumonia,6868
Kanchanpur,2069/70,Sever Pneumonia,259
Kanchanpur,2069/70,Bronchitis,3779
Kanchanpur,2069/70,Asthama,5686
Kanchanpur,2069/70,Viral Influnenza,22685
Kanchanpur,2069/70,Foreign body in respiratory tract,108
Dadeldhura,2069/70,ARI/Lower respiratory tract Infection,10848
Dadeldhura,2069/70,Upper respiratory tract Infection,16597
Dadeldhura,2069/70,Pneumonia,4624
Dadeldhura,2069/70,Sever Pneumonia,386
Dadeldhura,2069/70,Bronchitis,1690
Dadeldhura,2069/70,Asthama,4847
Dadeldhura,2069/70,Viral Influnenza,7335
Dadeldhura,2069/70,Foreign body in respiratory tract,95
Baitadi,2069/70,ARI/Lower respiratory tract Infection,18086
Baitadi,2069/70,Upper respiratory tract Infection,16036
Baitadi,2069/70,Pneumonia,4627
Baitadi,2069/70,Sever Pneumonia,250
Baitadi,2069/70,Bronchitis,1810
Baitadi,2069/70,Asthama,5716
Baitadi,2069/70,Viral Influnenza,5524
Baitadi,2069/70,Foreign body in respiratory tract,95
Darchula,2069/70,ARI/Lower respiratory tract Infection,10384
Darchula,2069/70,Upper respiratory tract Infection,7197
Darchula,2069/70,Pneumonia,1511
Darchula,2069/70,Sever Pneumonia,60
Darchula,2069/70,Bronchitis,3106
Darchula,2069/70,Asthama,4377
Darchula,2069/70,Viral Influnenza,3629
Darchula,2069/70,Foreign body in respiratory tract,10
