District,Year,Clinical Malaria/Total Treatment,Age group,Gender,Number of people
Bajura,2069/70,Total Treatment,Under 5 Years,Female,0
Bajura,2069/70,Total Treatment,5 Years & Above,Male,0
Bajhang,2069/70,Clinical Malaria,Under 5 Years,Female,8
Bajhang,2069/70,Clinical Malaria,5 Years & Above,Male,1
Bajhang,2069/70,Clinical Malaria,Under 5 Years,Female,0
Bajhang,2069/70,Clinical Malaria,5 Years & Above,Male,0
Bajhang,2069/70,Total Treatment,Under 5 Years,Female,0
Bajhang,2069/70,Total Treatment,5 Years & Above,Male,0
Bajhang,2069/70,Total Treatment,Under 5 Years,Female,0
Bajhang,2069/70,Total Treatment,5 Years & Above,Male,0
Achham,2069/70,Clinical Malaria,Under 5 Years,Female,0
Achham,2069/70,Clinical Malaria,5 Years & Above,Male,0
Achham,2069/70,Clinical Malaria,Under 5 Years,Female,5
Achham,2069/70,Clinical Malaria,5 Years & Above,Male,0
Achham,2069/70,Total Treatment,Under 5 Years,Female,0
Achham,2069/70,Total Treatment,5 Years & Above,Male,0
Achham,2069/70,Total Treatment,Under 5 Years,Female,1
Achham,2069/70,Total Treatment,5 Years & Above,Male,1
Doti,2069/70,Clinical Malaria,Under 5 Years,Female,0
Doti,2069/70,Clinical Malaria,5 Years & Above,Male,0
Doti,2069/70,Clinical Malaria,Under 5 Years,Female,2
Doti,2069/70,Clinical Malaria,5 Years & Above,Male,0
Doti,2069/70,Total Treatment,Under 5 Years,Female,0
Doti,2069/70,Total Treatment,5 Years & Above,Male,0
Doti,2069/70,Total Treatment,Under 5 Years,Female,4
Doti,2069/70,Total Treatment,5 Years & Above,Male,12
Kailali,2069/70,Clinical Malaria,Under 5 Years,Female,435
Kailali,2069/70,Clinical Malaria,5 Years & Above,Male,500
Kailali,2069/70,Clinical Malaria,Under 5 Years,Female,960
Kailali,2069/70,Clinical Malaria,5 Years & Above,Male,1078
Kailali,2069/70,Total Treatment,Under 5 Years,Female,438
Kailali,2069/70,Total Treatment,5 Years & Above,Male,507
Kailali,2069/70,Total Treatment,Under 5 Years,Female,1008
Kailali,2069/70,Total Treatment,5 Years & Above,Male,1326
Kanchanpur,2069/70,Clinical Malaria,Under 5 Years,Female,0
Kanchanpur,2069/70,Clinical Malaria,5 Years & Above,Male,3
Kanchanpur,2069/70,Clinical Malaria,Under 5 Years,Female,3
Kanchanpur,2069/70,Clinical Malaria,5 Years & Above,Male,1
Kanchanpur,2069/70,Total Treatment,Under 5 Years,Female,0
Kanchanpur,2069/70,Total Treatment,5 Years & Above,Male,5
Kanchanpur,2069/70,Total Treatment,Under 5 Years,Female,77
Kanchanpur,2069/70,Total Treatment,5 Years & Above,Male,163
Dadeldhura,2069/70,Clinical Malaria,Under 5 Years,Female,0
Dadeldhura,2069/70,Clinical Malaria,5 Years & Above,Male,0
Dadeldhura,2069/70,Clinical Malaria,Under 5 Years,Female,38
Dadeldhura,2069/70,Clinical Malaria,5 Years & Above,Male,40
Dadeldhura,2069/70,Total Treatment,Under 5 Years,Female,2
Dadeldhura,2069/70,Total Treatment,5 Years & Above,Male,0
Dadeldhura,2069/70,Total Treatment,Under 5 Years,Female,12
Dadeldhura,2069/70,Total Treatment,5 Years & Above,Male,34
Baitadi,2069/70,Clinical Malaria,Under 5 Years,Female,0
Baitadi,2069/70,Clinical Malaria,5 Years & Above,Male,9
Baitadi,2069/70,Clinical Malaria,Under 5 Years,Female,22
Baitadi,2069/70,Clinical Malaria,5 Years & Above,Male,22
Baitadi,2069/70,Total Treatment,Under 5 Years,Female,0
Baitadi,2069/70,Total Treatment,5 Years & Above,Male,18
Baitadi,2069/70,Total Treatment,Under 5 Years,Female,39
Baitadi,2069/70,Total Treatment,5 Years & Above,Male,54
Darchula,2069/70,Clinical Malaria,Under 5 Years,Female,0
Darchula,2069/70,Clinical Malaria,5 Years & Above,Male,0
Darchula,2069/70,Clinical Malaria,Under 5 Years,Female,0
Darchula,2069/70,Clinical Malaria,5 Years & Above,Male,0
Darchula,2069/70,Total Treatment,Under 5 Years,Female,0
Darchula,2069/70,Total Treatment,5 Years & Above,Male,0
Darchula,2069/70,Total Treatment,Under 5 Years,Female,0
Darchula,2069/70,Total Treatment,5 Years & Above,Male,0
