District,Year,Gynecological Problem,Number of people
Kalikot,2069/70,Pelvic Inflamatory Disease (PID),685
Kalikot,2069/70,Leukerrhoea (Veginal discharge syndrom,248
Kalikot,2069/70,Menstrual disorder,173
Kalikot,2069/70,Disfunctional uterine bleeding,181
Kalikot,2069/70,Breast lumps / Breast Abscess,101
Kalikot,2069/70,Mastitis (Ingorged breast),29
Mugu,2069/70,Prolapsed uterus,20
Mugu,2069/70,Pelvic Inflamatory Disease (PID),216
Mugu,2069/70,Leukerrhoea (Veginal discharge syndrom,65
Mugu,2069/70,Menstrual disorder,52
Mugu,2069/70,Disfunctional uterine bleeding,16
Mugu,2069/70,Breast lumps / Breast Abscess,29
Mugu,2069/70,Mastitis (Ingorged breast),15
Humla,2069/70,Prolapsed uterus,89
Humla,2069/70,Pelvic Inflamatory Disease (PID),616
Humla,2069/70,Leukerrhoea (Veginal discharge syndrom,320
Humla,2069/70,Menstrual disorder,186
Humla,2069/70,Disfunctional uterine bleeding,79
Humla,2069/70,Breast lumps / Breast Abscess,119
Humla,2069/70,Mastitis (Ingorged breast),26
Bajura,2069/70,Prolapsed uterus,27
Bajura,2069/70,Pelvic Inflamatory Disease (PID),619
Bajura,2069/70,Leukerrhoea (Veginal discharge syndrom,310
Bajura,2069/70,Menstrual disorder,189
Bajura,2069/70,Disfunctional uterine bleeding,272
Bajura,2069/70,Breast lumps / Breast Abscess,81
Bajura,2069/70,Mastitis (Ingorged breast),32
Bajhang,2069/70,Prolapsed uterus,118
Bajhang,2069/70,Pelvic Inflamatory Disease (PID),900
Bajhang,2069/70,Leukerrhoea (Veginal discharge syndrom,428
Bajhang,2069/70,Menstrual disorder,261
Bajhang,2069/70,Disfunctional uterine bleeding,231
Bajhang,2069/70,Breast lumps / Breast Abscess,97
Bajhang,2069/70,Mastitis (Ingorged breast),82
Achham,2069/70,Prolapsed uterus,182
Achham,2069/70,Pelvic Inflamatory Disease (PID),2054
Achham,2069/70,Leukerrhoea (Veginal discharge syndrom,788
Achham,2069/70,Menstrual disorder,483
Achham,2069/70,Disfunctional uterine bleeding,627
Achham,2069/70,Breast lumps / Breast Abscess,182
Achham,2069/70,Mastitis (Ingorged breast),117
Doti,2069/70,Prolapsed uterus,223
Doti,2069/70,Pelvic Inflamatory Disease (PID),922
Doti,2069/70,Leukerrhoea (Veginal discharge syndrom,477
Doti,2069/70,Menstrual disorder,239
Doti,2069/70,Disfunctional uterine bleeding,213
Doti,2069/70,Breast lumps / Breast Abscess,126
Doti,2069/70,Mastitis (Ingorged breast),43
Kailali,2069/70,Prolapsed uterus,265
Kailali,2069/70,Pelvic Inflamatory Disease (PID),4089
Kailali,2069/70,Leukerrhoea (Veginal discharge syndrom,2825
Kailali,2069/70,Menstrual disorder,1428
Kailali,2069/70,Disfunctional uterine bleeding,1476
Kailali,2069/70,Breast lumps / Breast Abscess,233
Kailali,2069/70,Mastitis (Ingorged breast),83
Kanchanpur,2069/70,Prolapsed uterus,165
Kanchanpur,2069/70,Pelvic Inflamatory Disease (PID),2793
Kanchanpur,2069/70,Leukerrhoea (Veginal discharge syndrom,2555
Kanchanpur,2069/70,Menstrual disorder,814
Kanchanpur,2069/70,Disfunctional uterine bleeding,790
Kanchanpur,2069/70,Breast lumps / Breast Abscess,88
Kanchanpur,2069/70,Mastitis (Ingorged breast),66
Dadeldhura,2069/70,Prolapsed uterus,240
Dadeldhura,2069/70,Pelvic Inflamatory Disease (PID),2254
Dadeldhura,2069/70,Leukerrhoea (Veginal discharge syndrom,1544
Dadeldhura,2069/70,Menstrual disorder,694
Dadeldhura,2069/70,Disfunctional uterine bleeding,352
Dadeldhura,2069/70,Breast lumps / Breast Abscess,108
Dadeldhura,2069/70,Mastitis (Ingorged breast),69
Baitadi,2069/70,Prolapsed uterus,310
Baitadi,2069/70,Pelvic Inflamatory Disease (PID),1279
Baitadi,2069/70,Leukerrhoea (Veginal discharge syndrom,517
Baitadi,2069/70,Menstrual disorder,352
Baitadi,2069/70,Disfunctional uterine bleeding,274
Baitadi,2069/70,Breast lumps / Breast Abscess,168
Baitadi,2069/70,Mastitis (Ingorged breast),44
Darchula,2069/70,Prolapsed uterus,68
Darchula,2069/70,Pelvic Inflamatory Disease (PID),554
Darchula,2069/70,Leukerrhoea (Veginal discharge syndrom,150
Darchula,2069/70,Menstrual disorder,75
Darchula,2069/70,Disfunctional uterine bleeding,158
Darchula,2069/70,Breast lumps / Breast Abscess,33
Darchula,2069/70,Mastitis (Ingorged breast),17
