District,Year,Nutritional deficines,Number of people
Surkhet,2069/70,Night blindness,71
Dailekh,2069/70,Malnutrition,162
Dailekh,2069/70,Avitaminoses and othernnutrideficency,1132
Dailekh,2069/70,Polyneuritis,788
Dailekh,2069/70,Anaemia,456
Dailekh,2069/70,"Goitre,Cretinism",1
Dailekh,2069/70,Diabetic mellitis,27
Dailekh,2069/70,Obesity,4
Dailekh,2069/70,Dehydration,1384
Dailekh,2069/70,Night blindness,40
Jajarkot,2069/70,Malnutrition,640
Jajarkot,2069/70,Avitaminoses and othernnutrideficency,759
Jajarkot,2069/70,Polyneuritis,726
Jajarkot,2069/70,Anaemia,1655
Jajarkot,2069/70,"Goitre,Cretinism",36
Jajarkot,2069/70,Diabetic mellitis,1
Jajarkot,2069/70,Obesity,6
Jajarkot,2069/70,Dehydration,518
Jajarkot,2069/70,Night blindness,290
Dolpa,2069/70,Malnutrition,39
Dolpa,2069/70,Avitaminoses and othernnutrideficency,160
Dolpa,2069/70,Polyneuritis,15
Dolpa,2069/70,Anaemia,65
Dolpa,2069/70,"Goitre,Cretinism",0
Dolpa,2069/70,Diabetic mellitis,5
Dolpa,2069/70,Obesity,0
Dolpa,2069/70,Dehydration,117
Dolpa,2069/70,Night blindness,2
Jumla,2069/70,Malnutrition,505
Jumla,2069/70,Avitaminoses and othernnutrideficency,437
Jumla,2069/70,Polyneuritis,55
Jumla,2069/70,Anaemia,159
Jumla,2069/70,"Goitre,Cretinism",10
Jumla,2069/70,Diabetic mellitis,18
Jumla,2069/70,Obesity,5
Jumla,2069/70,Dehydration,357
Jumla,2069/70,Night blindness,161
Kalikot,2069/70,Malnutrition,377
Kalikot,2069/70,Avitaminoses and othernnutrideficency,377
Kalikot,2069/70,Polyneuritis,214
Kalikot,2069/70,Anaemia,455
Kalikot,2069/70,"Goitre,Cretinism",20
Kalikot,2069/70,Diabetic mellitis,4
Kalikot,2069/70,Obesity,17
Kalikot,2069/70,Dehydration,678
Kalikot,2069/70,Night blindness,131
Mugu,2069/70,Malnutrition,364
Mugu,2069/70,Avitaminoses and othernnutrideficency,376
Mugu,2069/70,Polyneuritis,89
Mugu,2069/70,Anaemia,142
Mugu,2069/70,"Goitre,Cretinism",19
Mugu,2069/70,Diabetic mellitis,8
Mugu,2069/70,Obesity,34
Mugu,2069/70,Dehydration,250
Mugu,2069/70,Night blindness,54
Humla,2069/70,Malnutrition,711
Humla,2069/70,Avitaminoses and othernnutrideficency,286
Humla,2069/70,Polyneuritis,153
Humla,2069/70,Anaemia,543
Humla,2069/70,"Goitre,Cretinism",5
Humla,2069/70,Diabetic mellitis,6
Humla,2069/70,Obesity,51
Humla,2069/70,Dehydration,800
Humla,2069/70,Night blindness,20
Bajura,2069/70,Malnutrition,330
Bajura,2069/70,Avitaminoses and othernnutrideficency,1155
Bajura,2069/70,Polyneuritis,269
Bajura,2069/70,Anaemia,682
Bajura,2069/70,"Goitre,Cretinism",15
Bajura,2069/70,Diabetic mellitis,7
Bajura,2069/70,Obesity,9
Bajura,2069/70,Dehydration,1084
Bajura,2069/70,Night blindness,57
Bajhang,2069/70,Malnutrition,367
Bajhang,2069/70,Avitaminoses and othernnutrideficency,434
Bajhang,2069/70,Polyneuritis,796
Bajhang,2069/70,Anaemia,545
Bajhang,2069/70,"Goitre,Cretinism",9
Bajhang,2069/70,Diabetic mellitis,29
Bajhang,2069/70,Obesity,41
Bajhang,2069/70,Dehydration,1579
Bajhang,2069/70,Night blindness,168
Achham,2069/70,Malnutrition,1171
Achham,2069/70,Avitaminoses and othernnutrideficency,2222
Achham,2069/70,Polyneuritis,899
Achham,2069/70,Anaemia,1284
Achham,2069/70,"Goitre,Cretinism",20
Achham,2069/70,Diabetic mellitis,404
Achham,2069/70,Obesity,6
Achham,2069/70,Dehydration,1183
Achham,2069/70,Night blindness,128
Doti,2069/70,Malnutrition,178
Doti,2069/70,Avitaminoses and othernnutrideficency,1687
Doti,2069/70,Polyneuritis,463
Doti,2069/70,Anaemia,1385
Doti,2069/70,"Goitre,Cretinism",25
Doti,2069/70,Diabetic mellitis,192
Doti,2069/70,Obesity,20
Doti,2069/70,Dehydration,1597
Doti,2069/70,Night blindness,51
Kailali,2069/70,Malnutrition,376
Kailali,2069/70,Avitaminoses and othernnutrideficency,4118
Kailali,2069/70,Polyneuritis,1309
Kailali,2069/70,Anaemia,4620
Kailali,2069/70,"Goitre,Cretinism",102
Kailali,2069/70,Diabetic mellitis,1818
Kailali,2069/70,Obesity,29
Kailali,2069/70,Dehydration,1164
Kailali,2069/70,Night blindness,87
Kanchanpur,2069/70,Malnutrition,1099
Kanchanpur,2069/70,Avitaminoses and othernnutrideficency,2566
Kanchanpur,2069/70,Polyneuritis,483
Kanchanpur,2069/70,Anaemia,2095
Kanchanpur,2069/70,"Goitre,Cretinism",11
Kanchanpur,2069/70,Diabetic mellitis,230
Kanchanpur,2069/70,Obesity,20
Kanchanpur,2069/70,Dehydration,675
Kanchanpur,2069/70,Night blindness,58
Dadeldhura,2069/70,Malnutrition,275
Dadeldhura,2069/70,Avitaminoses and othernnutrideficency,1116
Dadeldhura,2069/70,Polyneuritis,704
Dadeldhura,2069/70,Anaemia,670
Dadeldhura,2069/70,"Goitre,Cretinism",130
Dadeldhura,2069/70,Diabetic mellitis,760
Dadeldhura,2069/70,Obesity,75
Dadeldhura,2069/70,Dehydration,899
Dadeldhura,2069/70,Night blindness,21
Baitadi,2069/70,Malnutrition,132
Baitadi,2069/70,Avitaminoses and othernnutrideficency,495
Baitadi,2069/70,Polyneuritis,419
Baitadi,2069/70,Anaemia,996
Baitadi,2069/70,"Goitre,Cretinism",38
Baitadi,2069/70,Diabetic mellitis,27
Baitadi,2069/70,Obesity,19
Baitadi,2069/70,Dehydration,1108
Baitadi,2069/70,Night blindness,186
Darchula,2069/70,Malnutrition,144
Darchula,2069/70,Avitaminoses and othernnutrideficency,439
Darchula,2069/70,Polyneuritis,191
Darchula,2069/70,Anaemia,410
Darchula,2069/70,"Goitre,Cretinism",35
Darchula,2069/70,Diabetic mellitis,2
Darchula,2069/70,Obesity,20
Darchula,2069/70,Dehydration,245
Darchula,2069/70,Night blindness,74
